iter	RMSE
0	21.22909219
1	20.8394218
2	20.49575658
3	20.07952455
4	19.74365818
5	19.43364583
6	19.12201655
7	18.88476327
8	18.70411357
9	18.55399738
10	18.38114057
11	18.18459609
12	17.99083339
13	17.81080635
14	17.70161276
15	17.58934064
16	17.47105601
17	17.35529757
18	17.28692793
19	17.17168941
20	17.091916
21	17.02029725
22	16.94600049
23	16.90697575
24	16.81828357
25	16.75992845
26	16.68122477
27	16.66749228
28	16.63198727
29	16.58300678
30	16.53771165
31	16.47605491
32	16.42543439
33	16.34931587
34	16.32235338
35	16.28681966
36	16.25195565
37	16.21001683
38	16.20670761
39	16.17188133
40	16.1088632
41	16.09267882
42	16.08141345
43	16.03151761
44	15.97341464
45	15.95707411
46	15.91370145
47	15.88722048
48	15.87268478
49	15.83449333
50	15.79416778
51	15.77835176
52	15.75608269
53	15.72174622
54	15.70560608
55	15.67883466
56	15.63828598
57	15.58316382
58	15.55292821
59	15.54317967
60	15.52675894
61	15.51688743
62	15.50339909
63	15.47601713
64	15.47594598
65	15.45693053
66	15.44596434
67	15.41187387
68	15.40788203
69	15.38164689
70	15.32896248
71	15.30117694
72	15.25666244
73	15.22668176
74	15.20806261
75	15.18377214
76	15.16127926
77	15.11340901
78	15.09723365
79	15.06734308
80	15.05794429
81	15.02253315
82	15.00582109
83	14.98608808
84	14.93131421
85	14.93059451
86	14.92075038
87	14.90336322
88	14.84702723
89	14.82071156
90	14.80983583
91	14.78080973
92	14.78065243
93	14.77175761
94	14.75510577
95	14.73902776
96	14.73443036
97	14.72827789
98	14.71907515
99	14.70098445
