iter	Passed	Remaining
0	72	7204
1	74	3672
2	76	2485
3	77	1871
4	78	1498
5	80	1266
6	81	1087
7	82	948
8	83	846
9	84	758
10	85	690
11	86	633
12	87	583
13	87	540
14	89	508
15	90	477
16	91	447
17	92	422
18	94	402
19	95	381
20	96	362
21	97	344
22	97	327
23	98	313
24	99	299
25	100	286
26	101	274
27	102	264
28	103	253
29	104	243
30	105	234
31	106	225
32	107	217
33	107	209
34	109	203
35	110	196
36	111	189
37	112	183
38	112	175
39	113	169
40	113	164
41	114	158
42	115	153
43	116	148
44	117	143
45	117	138
46	118	133
47	119	129
48	120	125
49	122	122
50	123	118
51	123	114
52	124	110
53	125	106
54	128	104
55	128	101
56	129	97
57	131	95
58	132	91
59	132	88
60	133	85
61	134	82
62	135	79
63	135	76
64	136	73
65	136	70
66	137	67
67	138	65
68	139	62
69	139	59
70	140	57
71	142	55
72	142	52
73	143	50
74	144	48
75	145	45
76	145	43
77	146	41
78	147	39
79	148	37
80	149	35
81	150	33
82	151	30
83	151	28
84	152	26
85	152	24
86	153	22
87	154	21
88	155	19
89	156	17
90	156	15
91	157	13
92	158	11
93	158	10
94	159	8
95	160	6
96	161	4
97	161	3
98	162	1
99	163	0
